,Tag
Control_175,0
Control_176,0
Control_177,0
Control_178,0
Control_179,0
Control_180,0
Control_181,0
Control_182,0
Control_183,0
Control_184,0
Control_185,0
Control_186,0
Control_187,0
Control_188,0
Control_189,0
Control_190,0
Control_191,0
Control_192,0
Control_193,0
Control_194,0
Control_195,0
Control_196,0
Control_197,0
Control_198,0
Control_199,0
Control_200,0
Control_201,0
Control_202,0
Control_203,0
Control_204,0
Control_205,0
Control_206,0
Control_207,0
Pregnant_0,1
Pregnant_1,1
Pregnant_2,1
Pregnant_3,1
Pregnant_4,1
Pregnant_5,1
Pregnant_6,1
Pregnant_7,1
Pregnant_8,1
Pregnant_9,1
Pregnant_10,1
Pregnant_11,1
Pregnant_12,1
Pregnant_13,1
Pregnant_14,1
Pregnant_15,1
Pregnant_16,1
Pregnant_17,1
Pregnant_18,1
Pregnant_19,1
Pregnant_20,1
Pregnant_21,1
Pregnant_22,1
Pregnant_23,1
Pregnant_24,1
Pregnant_25,1
Pregnant_26,1
Pregnant_27,1
Pregnant_28,1
Pregnant_29,1
Pregnant_30,1
Pregnant_31,1
Pregnant_32,1
Pregnant_33,1
Pregnant_34,1
Pregnant_35,1
Pregnant_36,1
Pregnant_37,1
Pregnant_38,1
Pregnant_39,1
Pregnant_40,1
Pregnant_41,1
Pregnant_42,1
Pregnant_43,1
Pregnant_44,1
Pregnant_45,1
Pregnant_46,1
Pregnant_47,1
Pregnant_48,1
Pregnant_49,1
Pregnant_50,1
Pregnant_51,1
Pregnant_52,1
Pregnant_53,1
Pregnant_54,1
Pregnant_55,1
Pregnant_56,1
Pregnant_57,1
Pregnant_58,1
Pregnant_59,1
Pregnant_60,1
Pregnant_61,1
Pregnant_62,1
Pregnant_63,1
Pregnant_64,1
Pregnant_65,1
Pregnant_66,1
Pregnant_67,1
Pregnant_68,1
Pregnant_69,1
Pregnant_70,1
Pregnant_71,1
Pregnant_72,1
Pregnant_73,1
Pregnant_74,1
Pregnant_75,1
Pregnant_76,1
Pregnant_77,1
Pregnant_78,1
Pregnant_79,1
Pregnant_80,1
Pregnant_81,1
Pregnant_82,1
Pregnant_83,1
Pregnant_84,1
Pregnant_85,1
Pregnant_86,1
Pregnant_87,1
Pregnant_88,1
Pregnant_89,1
Pregnant_90,1
Pregnant_91,1
Pregnant_92,1
Pregnant_93,1
Pregnant_94,1
Pregnant_95,1
Pregnant_96,1
Pregnant_97,1
Pregnant_98,1
Pregnant_99,1
Pregnant_100,1
Pregnant_101,1
Pregnant_102,1
Pregnant_103,1
Pregnant_104,1
Pregnant_105,1
Pregnant_106,1
Pregnant_107,1
Pregnant_108,1
Pregnant_109,1
Pregnant_110,1
Pregnant_111,1
Pregnant_112,1
Pregnant_113,1
Pregnant_114,1
Pregnant_115,1
Pregnant_116,1
Pregnant_117,1
Pregnant_118,1
Pregnant_119,1
Pregnant_120,1
Pregnant_121,1
Pregnant_122,1
Pregnant_123,1
Pregnant_124,1
Pregnant_125,1
Pregnant_126,1
Pregnant_127,1
Pregnant_128,1
Pregnant_129,1
Pregnant_130,1
Pregnant_131,1
Pregnant_132,1
Pregnant_133,1
Pregnant_134,1
Pregnant_135,1
Pregnant_136,1
Pregnant_137,1
Pregnant_138,1
Pregnant_139,1
Pregnant_140,1
Pregnant_141,1
Pregnant_142,1
Pregnant_143,1
Pregnant_144,1
Pregnant_145,1
Pregnant_146,1
Pregnant_147,1
Pregnant_148,1
Pregnant_149,1
Pregnant_150,1
Pregnant_151,1
Pregnant_152,1
Pregnant_153,1
Pregnant_154,1
Pregnant_155,1
Pregnant_156,1
Pregnant_157,1
Pregnant_158,1
Pregnant_159,1
Pregnant_160,1
Pregnant_161,1
Pregnant_162,1
Pregnant_163,1
Pregnant_164,1
Pregnant_165,1
Pregnant_166,1
Pregnant_167,1
Pregnant_168,1
Pregnant_169,1
Pregnant_170,1
Pregnant_171,1
Pregnant_172,1
Pregnant_173,1
Pregnant_174,1
Pregnant_175,1
Pregnant_176,1
Pregnant_177,1
Pregnant_178,1
Pregnant_179,1
Pregnant_180,1
Pregnant_181,1
Pregnant_182,1
Pregnant_183,1
Pregnant_184,1
Pregnant_185,1
Pregnant_186,1
Pregnant_187,1
Pregnant_188,1
Pregnant_189,1
Pregnant_190,1
Pregnant_191,1
Pregnant_192,1
Pregnant_193,1
Pregnant_194,1
Pregnant_195,1
Pregnant_196,1
Pregnant_197,1
Pregnant_198,1
Pregnant_199,1
Pregnant_200,1
Pregnant_201,1
Pregnant_202,1
Pregnant_203,1
Pregnant_204,1
Pregnant_205,1
Pregnant_206,1
Pregnant_207,1
Pregnant_208,1
Pregnant_209,1
Pregnant_210,1
Pregnant_211,1
Pregnant_212,1
Pregnant_213,1
Pregnant_214,1
Pregnant_215,1
Pregnant_216,1
Pregnant_217,1
Pregnant_218,1
Pregnant_219,1
Pregnant_220,1
Pregnant_221,1
Pregnant_222,1
Pregnant_223,1
Pregnant_224,1
Pregnant_225,1
Pregnant_226,1
Pregnant_227,1
Pregnant_228,1
Pregnant_229,1
Pregnant_230,1
Pregnant_231,1
Pregnant_232,1
Pregnant_233,1
Pregnant_234,1
Pregnant_235,1
Pregnant_236,1
Pregnant_237,1
Pregnant_238,1
Pregnant_239,1
Pregnant_240,1
Pregnant_241,1
Pregnant_242,1
Pregnant_243,1
Pregnant_244,1
Pregnant_245,1
Pregnant_246,1
Pregnant_247,1
Pregnant_248,1
Pregnant_249,1
Pregnant_250,1
Pregnant_251,1
Pregnant_252,1
Pregnant_253,1
Pregnant_254,1
Pregnant_255,1
Pregnant_256,1
Pregnant_257,1
Pregnant_258,1
Pregnant_259,1
Pregnant_260,1
Pregnant_261,1
Pregnant_262,1
Pregnant_263,1
Pregnant_264,1
Pregnant_265,1
Pregnant_266,1
Pregnant_267,1
Pregnant_268,1
Pregnant_269,1
Pregnant_270,1
Pregnant_271,1
Pregnant_272,1
Pregnant_273,1
Pregnant_274,1
Pregnant_275,1
Pregnant_276,1
Pregnant_277,1
Pregnant_278,1
Pregnant_279,1
Pregnant_280,1
Pregnant_281,1
Pregnant_282,1
Pregnant_283,1
Pregnant_284,1
Pregnant_285,1
Pregnant_286,1
Pregnant_287,1
Pregnant_288,1
Pregnant_289,1
Pregnant_290,1
Pregnant_291,1
Pregnant_292,1
Pregnant_293,1
Pregnant_294,1
Pregnant_295,1
Pregnant_296,1
Pregnant_297,1
Pregnant_298,1
Pregnant_299,1
Pregnant_300,1
Pregnant_301,1
Pregnant_302,1
Pregnant_303,1
Pregnant_304,1
Pregnant_305,1
Pregnant_306,1
Pregnant_307,1
Pregnant_308,1
Pregnant_309,1
Pregnant_310,1
Pregnant_311,1
Pregnant_312,1
Pregnant_313,1
Pregnant_314,1
Pregnant_315,1
Pregnant_316,1
Pregnant_317,1
Pregnant_318,1
Pregnant_319,1
Pregnant_320,1
Pregnant_321,1
Pregnant_322,1
Pregnant_323,1
Pregnant_324,1
Pregnant_325,1
Pregnant_326,1
Pregnant_327,1
Pregnant_328,1
Pregnant_329,1
Pregnant_330,1
Pregnant_331,1
Pregnant_332,1
Pregnant_333,1
Pregnant_334,1
Pregnant_335,1
Pregnant_336,1
Pregnant_337,1
Pregnant_338,1
Pregnant_339,1
Pregnant_340,1
Pregnant_341,1
Pregnant_342,1
Pregnant_343,1
Pregnant_344,1
Pregnant_345,1
Pregnant_346,1
Pregnant_347,1
Pregnant_348,1
Pregnant_349,1
Pregnant_350,1
Pregnant_351,1
Pregnant_352,1
Pregnant_353,1
Pregnant_354,1
Pregnant_355,1
Pregnant_356,1
Pregnant_357,1
Pregnant_358,1
Pregnant_359,1
Pregnant_360,1
Pregnant_361,1
Pregnant_362,1
Pregnant_363,1
Pregnant_364,1
Pregnant_365,1
Pregnant_366,1
Pregnant_367,1
Pregnant_368,1
Pregnant_369,1
Pregnant_370,1
Pregnant_371,1
Pregnant_372,1
Pregnant_373,1
Pregnant_374,1
Pregnant_375,1
Pregnant_376,1
Pregnant_377,1
Pregnant_378,1
Pregnant_379,1
Pregnant_380,1
Pregnant_381,1
Pregnant_382,1
Pregnant_383,1
Pregnant_384,1
Pregnant_385,1
Pregnant_386,1
Pregnant_387,1
Pregnant_388,1
Pregnant_389,1
Pregnant_390,1
Pregnant_391,1
Pregnant_392,1
Pregnant_393,1
Pregnant_394,1
Pregnant_395,1
Pregnant_396,1
Pregnant_397,1
Pregnant_398,1
Pregnant_399,1
Pregnant_400,1
Pregnant_401,1
Pregnant_402,1
Pregnant_403,1
Pregnant_404,1
Pregnant_405,1
Pregnant_406,1
Pregnant_407,1
Pregnant_408,1
Pregnant_409,1
Pregnant_410,1
Pregnant_411,1
Pregnant_412,1
Pregnant_413,1
Pregnant_414,1
Pregnant_415,1
Pregnant_416,1
Pregnant_417,1
Pregnant_418,1
Pregnant_419,1
Pregnant_420,1
Pregnant_421,1
Pregnant_422,1
Pregnant_423,1
Pregnant_424,1
Pregnant_425,1
Pregnant_426,1
Pregnant_427,1
Pregnant_428,1
Pregnant_429,1
Pregnant_430,1
Pregnant_431,1
Pregnant_432,1
Pregnant_433,1
Pregnant_434,1
Pregnant_435,1
Pregnant_436,1
Pregnant_437,1
Pregnant_438,1
Pregnant_439,1
Pregnant_440,1
Pregnant_441,1
Pregnant_442,1
Pregnant_443,1
Pregnant_444,1
